TRIO0001	HG00405	HG00403	HG00404
TRIO0002	HG00408	HG00406	HG00407
TRIO0003	HG00420	HG00418	HG00419
TRIO0004	HG00423	HG00421	HG00422
TRIO0005	HG00429	HG00427	HG00428
TRIO0006	HG00438	HG00436	HG00437
TRIO0007	HG00444	HG00442	HG00443
TRIO0008	HG00447	HG00445	HG00446
TRIO0009	HG00450	HG00448	HG00449
TRIO0010	HG00453	HG00451	HG00452
TRIO0011	HG00459	HG00457	HG00458
TRIO0012	HG00465	HG00463	HG00464
TRIO0013	HG00474	HG00472	HG00473
TRIO0014	HG00477	HG00475	HG00476
TRIO0015	HG00480	HG00478	HG00479
TRIO0016	HG00502	HG00500	HG00501
TRIO0017	HG00514	HG00512	HG00513
TRIO0018	HG00526	HG00524	HG00525
TRIO0019	HG00532	HG00530	HG00531
TRIO0020	HG00535	HG00533	HG00534
TRIO0021	HG00538	HG00536	HG00537
TRIO0022	HG00544	HG00542	HG00543
TRIO0023	HG00552	HG01075	HG00551
TRIO0024	HG00555	HG00553	HG00554
TRIO0025	HG00558	HG00556	HG00557
TRIO0026	HG00561	HG00559	HG00560
TRIO0027	HG00567	HG00565	HG00566
TRIO0028	HG00579	HG00577	HG00578
TRIO0029	HG00582	HG00580	HG00581
TRIO0030	HG00585	HG00583	HG00584
TRIO0031	HG00591	HG00589	HG00590
TRIO0032	HG00594	HG00592	HG00593
TRIO0033	HG00597	HG00595	HG00596
TRIO0034	HG00609	HG00607	HG00608
TRIO0035	HG00612	HG00610	HG00611
TRIO0036	HG00615	HG00613	HG00614
TRIO0037	HG00621	HG00619	HG00620
TRIO0038	HG00627	HG00625	HG00626
TRIO0039	HG00630	HG00628	HG00629
TRIO0040	HG00636	HG00634	HG00635
TRIO0041	HG00639	HG00637	HG00638
TRIO0042	HG00642	HG00640	HG00641
TRIO0043	HG00652	HG00650	HG00651
TRIO0044	HG00655	HG00653	HG00654
TRIO0045	HG00658	HG00656	HG00657
TRIO0046	HG00664	HG00662	HG00663
TRIO0047	HG00673	HG00671	HG00672
TRIO0048	HG00685	HG00683	HG00684
TRIO0049	HG00691	HG00689	HG00690
TRIO0050	HG00694	HG00692	HG00693
TRIO0051	HG00700	HG00698	HG00699
TRIO0052	HG00702	HG00656	HG00657
TRIO0053	HG00703	HG00701	HG00702
TRIO0054	HG00706	HG00704	HG00705
TRIO0055	HG00709	HG00707	HG00708
TRIO0056	HG00733	HG00731	HG00732
TRIO0057	HG00735	HG01047	HG00734
TRIO0058	HG00738	HG00736	HG00737
TRIO0059	HG00741	HG00739	HG00740
TRIO0060	HG01050	HG01048	HG01049
TRIO0061	HG01053	HG01051	HG01052
TRIO0062	HG01056	HG01054	HG01055
TRIO0063	HG01062	HG01060	HG01061
TRIO0064	HG01068	HG01066	HG01067
TRIO0065	HG01071	HG01069	HG01070
TRIO0066	HG01074	HG01072	HG01073
TRIO0067	HG01081	HG01079	HG01080
TRIO0068	HG01084	HG01082	HG01083
TRIO0069	HG01087	HG01085	HG01086
TRIO0070	HG01096	HG01094	HG01095
TRIO0071	HG01099	HG01097	HG01098
TRIO0072	HG01100	HG01247	HG01248
TRIO0073	HG01103	HG01101	HG01102
TRIO0074	HG01106	HG01104	HG01105
TRIO0075	HG01109	HG01107	HG01108
TRIO0076	HG01114	HG01112	HG01113
TRIO0077	HG01126	HG01124	HG01125
TRIO0078	HG01135	HG01133	HG01134
TRIO0079	HG01138	HG01136	HG01137
TRIO0080	HG01141	HG01139	HG01140
TRIO0081	HG01150	HG01148	HG01149
TRIO0082	HG01169	HG01167	HG01168
TRIO0083	HG01172	HG01170	HG01171
TRIO0084	HG01175	HG01173	HG01174
TRIO0085	HG01178	HG01176	HG01177
TRIO0086	HG01184	HG01182	HG01183
TRIO0087	HG01189	HG01187	HG01188
TRIO0088	HG01192	HG01190	HG01191
TRIO0089	HG01199	HG01197	HG01198
TRIO0090	HG01206	HG01204	HG01205
TRIO0091	HG01243	HG01241	HG01242
TRIO0092	HG01249	HG01110	HG01111
